epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8713,0.5244,2.00998,0.9973,1,0.59536,0.97884,0.88869,0.35012,2.29673,0.88383,0.00028,0.00028,0.00028
2,108.23,0.39823,1.01093,0.88836,0.95176,0.97101,0.98547,0.87745,0.43378,1.98825,0.94088,0.000572823,0.000572823,0.000572823
3,163.232,0.36773,0.89742,0.8824,0.99763,1,0.995,0.91445,0.38445,1.8963,0.89922,0.00085822,0.00085822,0.00085822
4,218.363,0.3683,0.8533,0.90032,0.99641,0.98551,0.99204,0.91971,0.36294,1.71942,0.92159,0.00113619,0.00113619,0.00113619
5,272.871,0.35207,0.78633,0.87963,1,0.99942,0.995,0.93096,0.4071,1.2676,0.9236,0.00140674,0.00140674,0.00140674
6,327.151,0.37389,0.70591,0.87931,1,0.99792,0.995,0.91614,0.43433,1.03423,0.91372,0.00166986,0.00166986,0.00166986
7,381.538,0.3659,0.68236,0.88264,0.92945,0.95475,0.97668,0.88489,0.37685,1.10864,0.93686,0.0018515,0.0018515,0.0018515
8,436.093,0.39726,0.69188,0.8953,0.91115,0.95652,0.97925,0.90851,0.41475,0.99279,0.93752,0.00182675,0.00182675,0.00182675
9,490.505,0.32442,0.56395,0.85863,1,0.99626,0.995,0.94402,0.32817,0.82135,0.90066,0.001802,0.001802,0.001802
10,544.406,0.30909,0.51756,0.87805,0.95711,1,0.98987,0.91636,0.35274,0.88683,0.92198,0.00177725,0.00177725,0.00177725
11,598.46,0.31715,0.50694,0.8739,0.99524,1,0.995,0.95426,0.34887,0.70337,0.90217,0.0017525,0.0017525,0.0017525
12,652.961,0.32519,0.49982,0.87518,0.98045,1,0.99429,0.95275,0.33444,0.62295,0.8776,0.00172775,0.00172775,0.00172775
13,707.438,0.32604,0.46029,0.87128,0.99876,1,0.995,0.97548,0.29651,0.57206,0.84487,0.001703,0.001703,0.001703
14,761.555,0.29698,0.44973,0.85473,0.99901,1,0.995,0.98376,0.25727,0.49872,0.8579,0.00167825,0.00167825,0.00167825
15,815.189,0.29073,0.44471,0.86096,0.9857,0.99919,0.99486,0.99367,0.24813,0.4883,0.84195,0.0016535,0.0016535,0.0016535
16,868.886,0.2966,0.43705,0.86696,0.99852,0.98551,0.99472,0.94005,0.34597,0.60958,0.89506,0.00162875,0.00162875,0.00162875
17,922.709,0.28568,0.43059,0.86942,0.92874,0.95652,0.98375,0.9605,0.28344,0.63675,0.87209,0.001604,0.001604,0.001604
18,976.524,0.25898,0.40096,0.86292,0.9855,0.98551,0.99457,0.96181,0.24407,0.50944,0.85883,0.00157925,0.00157925,0.00157925
19,1030.15,0.24205,0.36076,0.85238,0.98089,1,0.99386,0.97755,0.21637,0.41547,0.82998,0.0015545,0.0015545,0.0015545
20,1083.69,0.2599,0.36328,0.85517,0.99806,1,0.995,0.98191,0.2176,0.41018,0.82664,0.00152975,0.00152975,0.00152975
21,1137.08,0.27979,0.37887,0.85576,0.99691,1,0.995,0.98775,0.24714,0.41928,0.84984,0.001505,0.001505,0.001505
22,1190.63,0.2554,0.36549,0.8575,0.99557,1,0.995,0.99286,0.23175,0.42173,0.84402,0.00148025,0.00148025,0.00148025
23,1244.44,0.24143,0.33072,0.85811,0.99812,1,0.995,0.9884,0.20672,0.33515,0.83806,0.0014555,0.0014555,0.0014555
24,1298.17,0.26321,0.32949,0.84807,0.99902,1,0.995,0.99172,0.18644,0.27579,0.82398,0.00143075,0.00143075,0.00143075
25,1351.87,0.23115,0.31616,0.85684,0.99906,1,0.995,0.99396,0.1998,0.29888,0.83071,0.001406,0.001406,0.001406
26,1405.6,0.24533,0.31155,0.85643,0.98527,0.96956,0.99338,0.98293,0.22776,0.51819,0.84384,0.00138125,0.00138125,0.00138125
27,1459.15,0.25378,0.3292,0.86517,0.99862,1,0.995,0.99399,0.18668,0.27367,0.81967,0.0013565,0.0013565,0.0013565
28,1512.63,0.26195,0.30082,0.85638,0.99921,1,0.995,0.98977,0.21437,0.25821,0.82685,0.00133175,0.00133175,0.00133175
29,1566.26,0.24695,0.28154,0.84595,0.99923,1,0.995,0.99025,0.20811,0.25495,0.82718,0.001307,0.001307,0.001307
30,1621.31,0.2604,0.29328,0.86239,0.99918,1,0.995,0.99392,0.17997,0.24712,0.8242,0.00128225,0.00128225,0.00128225
31,1676.72,0.21216,0.28307,0.84975,0.99913,1,0.995,0.995,0.18051,0.27079,0.82852,0.0012575,0.0012575,0.0012575
32,1731.22,0.22538,0.28168,0.84502,0.99782,1,0.995,0.98964,0.1802,0.28504,0.83581,0.00123275,0.00123275,0.00123275
33,1785.5,0.21818,0.27532,0.85189,0.99865,1,0.995,0.995,0.16228,0.27868,0.81707,0.001208,0.001208,0.001208
