fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste
0.96402,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0
0.94806,0.01002,0.00875,0.98,0.0005,2.68857,0.89755,8.19737,0.59761,1.06924,0.01629,0.7444,0.35316,0.0,0.09483,0.52194,0.0,0.0,0.0,0.61171,0.0,0.9556,0.0,0.0,0.0
0.99165,0.01,0.01,0.94985,0.0005,3.27238,0.71752,7.5,0.48242,1.5,0.01561,0.64955,0.37903,0.0,0.1,0.49537,0.0,0.0,0.0,0.5012,0.0,0.99433,0.0,0.0,0.0
0.96299,0.01194,0.01,0.92517,0.00048,3.48912,0.95,6.60255,0.39547,1.57324,0.01561,0.64762,0.48247,0.0,0.10987,0.63973,0.0,0.0,0.0,0.51711,0.0,0.99433,0.0,0.0,0.0
0.97135,0.00962,0.01009,0.86034,0.00058,2.79033,0.71752,8.20466,0.56676,1.43306,0.01831,0.64955,0.37903,0.0,0.09185,0.55747,0.0,0.0,0.0,0.53203,0.0,0.99433,0.0,0.0,0.0
0.95696,0.00928,0.01032,0.86237,0.0006,2.64881,0.71752,8.20466,0.56114,1.43816,0.01831,0.72487,0.36098,0.0,0.0889,0.54956,0.0,0.0,0.0,0.51372,0.0,1.0,0.0,0.0,0.0
0.98665,0.01,0.0073,0.91444,0.00065,3.49583,0.78819,7.5,0.5,1.17971,0.01308,0.60369,0.23237,0.0,0.12715,0.55103,0.0,0.0,0.0,0.54989,0.0,0.65531,0.0,0.0,0.0
0.93557,0.01,0.01,0.95653,0.00045,3.27238,0.70611,7.45645,0.42107,1.5,0.01787,0.61271,0.41647,0.0,0.08927,0.42323,0.0,0.0,0.0,0.58092,0.0,0.91894,0.0,0.0,0.0
0.9773,0.01,0.01019,0.92602,0.00053,3.27238,0.71752,7.11779,0.47154,1.3633,0.01632,0.64955,0.36595,0.0,0.10062,0.49537,0.0,0.0,0.0,0.475,0.0,1.0,0.0,0.0,0.0
0.98738,0.01,0.00936,0.93774,0.00052,3.27238,0.63085,8.366,0.495,1.49254,0.01561,0.62742,0.37038,0.0,0.1,0.52959,0.0,0.0,0.0,0.4636,0.0,1.0,0.0,0.0,0.0
0.97103,0.01,0.01098,0.92602,0.00043,3.5102,0.70485,7.2191,0.47154,1.20626,0.0178,0.7458,0.37882,0.0,0.09366,0.51146,0.0,0.0,0.0,0.41594,0.0,0.99772,0.0,0.0,0.0
0.98718,0.00959,0.01,0.95767,0.0005,3.18655,0.61276,7.5,0.49773,1.41083,0.0153,0.72114,0.37903,0.0,0.1,0.49537,0.0,0.0,0.0,0.45303,0.0,1.0,0.0,0.0,0.0
0.97865,0.01,0.00752,0.91923,0.00065,3.49583,0.80525,6.64718,0.43851,1.16937,0.01285,0.54729,0.21545,0.0,0.12715,0.58237,0.0,0.0,0.0,0.55207,0.0,0.6673,0.0,0.0,0.0
0.98893,0.01,0.00936,0.92381,0.00034,3.27238,0.75205,8.07057,0.56694,2.03627,0.01561,0.69654,0.37038,0.0,0.1,0.66388,0.0,0.0,0.0,0.55162,0.0,1.0,0.0,0.0,0.0
0.98383,0.01,0.00986,0.94168,0.00051,3.31833,0.71752,7.26113,0.48411,1.49318,0.01577,0.63844,0.38149,0.0,0.09887,0.49002,0.0,0.0,0.0,0.50618,0.0,1.0,0.0,0.0,0.0
0.97668,0.00941,0.01,0.96958,0.00057,3.10717,0.69742,6.49907,0.4355,1.36728,0.0148,0.78098,0.33904,0.0,0.08952,0.50178,0.0,0.0,0.0,0.5012,0.0,0.91359,0.0,0.0,0.0
0.97,0.01079,0.01144,0.96743,0.00046,2.95872,0.67481,6.14374,0.48989,1.54799,0.01571,0.73441,0.3915,0.0,0.09012,0.52043,0.0,0.0,0.0,0.53143,0.0,1.0,0.0,0.0,0.0
0.98479,0.01025,0.01,0.96538,0.00043,3.27238,0.71752,7.60333,0.48242,1.5,0.01561,0.71615,0.36005,0.0,0.1,0.42182,0.0,0.0,0.0,0.4608,0.0,1.0,0.0,0.0,0.0
0.96559,0.00947,0.00938,0.9759,0.0006,3.33094,0.66169,7.5,0.48454,1.6244,0.01663,0.64955,0.24857,0.0,0.1,0.49537,0.0,0.0,0.0,0.5012,0.0,0.95043,0.0,0.0,0.0
0.97578,0.00978,0.00931,0.92381,0.00036,3.30773,0.80051,7.82745,0.57278,2.01359,0.01513,0.73527,0.39817,0.0,0.10166,0.65596,0.0,0.0,0.0,0.53862,0.0,1.0,0.0,0.0,0.0
